,activity,location,postal code,contact,opening hours,Mon,Tue,Wed,Thu,Fri,Sat,Sun,latitude,longitude
13,Relax in Singapore’s newest hotels,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
14,Bungy jump at Skypark Sentosa by AJ Hackett,"30 Siloso Beach Walk, Singapore 099011",099011,6911 3070 ,Mon-Fri 12.30pm-7pm | Sat–Sun 11.30pm-7pm ,30pm-7pm,Closed,Closed,Closed,30pm-7pm,30pm-7pm,30pm-7pm,1.255319,103.8131329
15,Ride the Skyline Luge,"45 Siloso Beach Walk, Sentosa, Singapore 099003",099003,6274 0472  ,Mon-Thu 11am-7.30pm | Fri 11am-9pm | Sat 10am-9pm | Sun 10am-7.30pm,11am-9pm,Closed,Closed,11am-9pm,11am-9pm,10am-9pm,Closed,1.252287,103.816842
16,Spend a day at NERF Action Xperience (Closed),"6 Raffles Boulevard, Marina Square #01-208, Singapore 039594",039594,not available,"12pm-8pm, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.290989,103.857422
17,Retreat to Adventure HQ,"2 Yishun Walk, HomeTeamNS Khatib, Singapore 767944",767944,6705 9420,"Tue 2pm-5.30pm | Wed-Fri 2pm-5.30pm and 6pm-9.30pm | Sat-Sun, School Holidays & PH 10am-1.30pm, 2pm-5.30pm, and 6pm-9.30pm (Closed on Mondays)",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.4173953,103.8328837
18,Go-kart at The Karting Arena,"511 Upper Jurong Road, Block B, Singapore 638366",638366,not available,Tue-Fri 1pm-9pm | Sat-Sun 9am-9pm (Closed on Mondays),Closed,1pm-9pm,Closed,Closed,1pm-9pm,9am-9pm,9am-9pm,1.329444,103.68286
19, Cable-ski at Singapore Wake Park,"1206A East Coast Parkway, Singapore 449891",449891,6636 4266,"10am-8pm, Daily | Sat-Sun 9am-8pm",Closed,Closed,Closed,Closed,Closed,9am-8pm,9am-8pm,1.305595,103.931679
20,Throw axes at Axe Factor,"200 Turf Club Road, The Grandstand #01-32A/B & #01-34A/B, Singapore 287994",287994,8923 8945,Tue-Sun 12pm-10pm (Closed on Mondays),Closed,12pm-10pm,Closed,Closed,Closed,Closed,12pm-10pm,1.337685,103.793667
21,Golf virtually at Five Iron Golf,"139 Cecil Street, #13-01, Singapore 069539",069539,6993 4131,Mon-Sat 7am-12am | Sun 7am-8pm,7am-12am,Closed,Closed,Closed,Closed,7am-12am,7am-8pm,1.279503,103.848442
22,Skydive indoors at iFly Singapore,"43 Siloso Beach Walk, #01-01, Singapore 099010",099010,6571 0000,Thu-Tue & PH 9am-10pm | Wed 11am-10pm,Closed,9am-10pm,11am-10pm,9am-10pm,Closed,Closed,Closed,1.252009,103.817604
23,Jump around in trampoline parks,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
24,Try bouldering or rock climbing,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
25,Go bowling at K Bowling Club,"313 Orchard Road, 313@Somerset #03-27, Singapore 238895",238895,6737 5313,"10am-1am, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.301509,103.8383939
26,Ride coasters at Universal Studios Singapore,"8 Sentosa Gateway, Singapore 098269",098269,6577 8888,Refer to Universal Studios Singapore’s calendar for more information,Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.256752,103.820331
27,Cycle on water at WaterbikeSG ,"Campsite 1 at Pasir Ris Park, near Carpark F, 133 Pasir Ris Road, Singapore 519149",519149,9871 8007,"Sat-Sun 9am-6pm, by appointment (Closed from Mondays to Fridays)",Closed,Closed,Closed,Closed,Closed,9am-6pm,9am-6pm,1.384943,103.944815
28, Try extreme sports at Mega Adventure,"10A Siloso Beach Walk, Singapore 099008",099008,6722 3785,Mon-Fri 2pm-6pm | Sat-Sun & PH 11am-6pm,2pm-6pm,Closed,Closed,Closed,2pm-6pm,11am-6pm,11am-6pm,1.255989,103.812385
29,Play outdoor laser tag with GO Team,not available,not available,9003 1177,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
30,Ice-skate at Kallang Ice World,"5 Stadium Walk, Kallang Leisure Park #03-08/09, Singapore 397693",397693,6348 1347,Sun-Thu 10am-10pm | Fri-Sat & Eve of PH 10am-12am | PH 9am-10pm,Closed,Closed,Closed,10am-10pm,10am-12am,10am-12am,10am-10pm,1.3023579,103.876445
31,Mountain-bike across Singapore,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
32,Snorkel at Adventure Cove Waterpark,"8 Sentosa Gateway, Singapore 098269",098269,not available,Fri-Tue 10am-5pm (Closed Wed-Thu),Closed,10am-5pm,Closed,Closed,10am-5pm,Closed,Closed,1.256752,103.820331
33,Scale and slide through Coastal PlayGrove,"902 East Coast Park Service Road, Singapore 449874",449874,not available,Tue-Sun 8am-8pm (Closed on Mondays),Closed,8am-8pm,Closed,Closed,Closed,Closed,8am-8pm,1.2975969,103.90035
34,Bike around Marina Bay,not available,not available,8831 3068,Various hours; view all GoCycling opening hours,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
35,Hang out at Skateparks,"Yuan Ching Road, Jurong Lake Gardens",not available,not available,Tue-Sun 8am-10pm (Closed on Mondays),Closed,8am-10pm,Closed,Closed,Closed,Closed,8am-10pm,not available,not available
36,Tackle a high elements course at Forest Adventure,"Bedok Reservoir Park, Singapore 478931",478931,6206 9744,Mon-Fri 9.30am-6pm | Sat-Sun & PH 9.30am-6.30pm,30am-6pm,Closed,Closed,Closed,30am-6pm,Closed,Closed,1.338259,103.9362249
37,Have an overnight cycling trip,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
38,Hop on a scenic bus ride around Singapore,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
39,Watch movies at an outdoor cinema,"2 Keppel Bay Vista, Singapore 098382",098382,info@cinewav.com,"Selected nights, 7.45pm – end of screening",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.264002,103.812509
40,Make pottery at Thow Kwang Pottery Jungle,"85 Lorong Tawas, Singapore 639823",639823,6265 5808 | 8949 0168 (WhatsApp),"9am-5pm, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.354741,103.695929
41,Experience VR with Headrock VR,not available,not available,6963 4127,Mon-Fri 12pm-7pm | Sat-Sun & PH 11am-7pm (last admission 6pm),12pm-7pm,Closed,Closed,Closed,12pm-7pm,11am-7pm,11am-7pm,not available,not available
42,Try the Boeing 737 Flight Experience,"30 Raffles Avenue, Singapore Flyer #02-06, Singapore 039803",039803,6339 2737,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.289069,103.862943
43,Explore Pearl’s Hill Terrace,"195 Pearl’s Hill Terrace, Singapore 168976",168976,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.284053,103.841318
44,Tour Tiger Brewery,"459 Jalan Ahmad Ibrahim, Singapore 639934",639934,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.3361749,103.647081
45,Watch films at The Projector,"The Cathay, 2 Handy Rd, #05-01, Singapore 229233",229233,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.2993889,103.847398
46,Draw graffiti at Heaven Spot,"3 Lorong Bakar Batu, #03-01, Singapore 348741",348741,8268 3160,Tue-Thu 2pm-9pm | Fri-Sun 10am-9pm (Closed on Mondays),Closed,2pm-9pm,Closed,2pm-9pm,10am-9pm,Closed,10am-9pm,1.328296,103.872011
47, Destress at The Fragment Room,"490 MacPherson Road, Singapore 368198",368198,6970 0343,"12am-10pm, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.332126,103.883278
48,Hang out at board game cafes,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
49,Navigate through an escape room,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
50,Go prawning at FishBugis+,"Bugis+, 201 Victoria Street, #07-05, Singapore 188067",188067,9008 0201 | 83386530 (WhatsApp),"9am-6am, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.299629,103.854302
51,Get competitive at Cow Play Cow Moo,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
52,Attend an art jamming session,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
53,Bathe in a Japanese-style onsen,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
54,Book for a massage,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
55,Visit ORTO ,"81 Lorong Chencharu, #01-01, Singapore 769198",769198,6257 8858,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.412975,103.829633
56,Travel to Senoko or Jurong Fishery Port,"31 Attap Valley Road, #02-29, Singapore 759908",759908,6257 6721,Tue-Sun 2am-6am (Closed on Mondays),Closed,2am-6am,Closed,Closed,Closed,Closed,2am-6am,1.461703,103.792447
57,Stroll around Gardens by the Bay,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
58,Drop by NTU’s Yunnan Garden,"12 Nanyang Drive, Singapore 637721",637721, 6791 1744,"24 hours, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.343794,103.683977
59,See Little Guilin,Along Bukit Batok East Avenue 5,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
60,Tour urban farms in Singapore,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
61,"Island-hop between Lazarus, St John’s, & Kusu Island",not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
62,Check out the Live Turtle & Tortoise Museum,"81 Lorong Chencharu, #01-16, Singapore 769198",769198,6268 5363,Wed-Mon 10am-6pm (Closed on Tuesdays),10am-6pm,Closed,10am-6pm,Closed,Closed,Closed,Closed,1.412975,103.829633
63,Go fishing around Singapore,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
64,Venture out to Changi Bay Point,Aviation Park Road,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
65,Birdwatch at Kranji Marshes,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
66,Trek through Maju Forest,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
67,Conquer the MacRitchie Treetop Walk,not available,not available,not available,"7am-7pm, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
68,Take a day trip to Pulau Ubin & Chek Jawa Wetlands,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
69,Have a romantic picnic,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
70,Hike through Singapore’s parks & nature reserves,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
71,Unwind at Sembawang Hot Spring Park,"Along Gambas Avenue, Singapore 756952",756952,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
72,Explore Jurong Lake Gardens,"104 Yuan Ching Road, Singapore 618665",618665,not available,"24 hours, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.3390167,103.7246886
73,See “Avatar Trees” at Bukit Brown Cemetery,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
74,Walk through Sungei Buloh Wetland Reserve,"301 Neo Tiew Crescent, Singapore 718925",718925,6794 1401,"7am-7pm, Daily (last entry at 6.30pm)",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.446721,103.7300549
75,Bike or hike through the Park Connector Network,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
76,Visit the Tropical Montane Orchidetum,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
77,Have a brunch date at a cafe,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
78,Have a seaside meal while yacht-viewing,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
79,Dine amidst nature at Lucky Saigon Cafe,"356 Tanglin Road, Singapore 247674",247674,6556 8228,"8am-10pm, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.29471,103.815001
80,Travel to Smith Marine Floating Restaurant,01’23’52″N – 103’57’42″E,not available,9792 7609 (WhatsApp/SMS for reservations),"10am-7pm, Daily (Closed on alternate Mondays)",Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
81,Dine at Soul Coffee,"11 Tanjong Katong Road, Kinex Mall #02-16, Singapore 437157",437157,9876 7257,"11am-10pm, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.314791,103.894536
82,Order a drink at Platform 1094 cafe,"1094 Serangoon Road, Singapore 328192",328192,6204 6003,Tue-Sun 11am-10pm (Closed on Mondays),Closed,11am-10pm,Closed,Closed,Closed,Closed,11am-10pm,1.323928,103.8649949
83,Visit unique food courts in Singapore,"1 Kim Seng Promenade, #03-116 Great World, Singapore 237994",237994,not available,"10am-10pm, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.293984,103.832088
84,Take your dog to a dog-friendly cafe,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
85,Go on a pub crawl,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
86,Enjoy a foodie & heritage walk in Geylang,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
87,Catch free music & art shows at the Esplanade,"1 Esplanade Drive, Singapore 038981",038981,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.289857,103.8552799
88,Check out the Vintage Camera Museum,"8C-8D Jalan Kledek, Singapore 199263",199263,6291 2278,"11am-7pm, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.303486,103.858994
89,Walk through the Japanese Cemetery Park,"825B Chuan Hoe Avenue, Singapore 549854",549854,"6468 0066 (The Japanese Association, Singapore)","7am-7pm, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.36431,103.875837
90,Visit the Science Centre,"15 Science Centre Road, Singapore 609081",609081,6425 2500,Tue-Sun 10am-5pm (last entry 4.15pm) (Closed Mondays except for public holidays and school holidays),Closed,10am-5pm,Closed,Closed,Closed,Closed,10am-5pm,1.333194,103.736132
91,Go museum-hopping,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
92,Visit the Civil Defence Heritage Gallery,"62 Hill Street, Singapore 179367",179367,6332 2996,Tue-Sun 10am-5pm (Closed on Mondays),Closed,10am-5pm,Closed,Closed,Closed,Closed,10am-5pm,1.292462,103.849296
93,Tour The Intan,"69 Joo Chiat Terrace, Singapore 427231",427231,6440 1148,By appointment only,Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.31451,103.901022
94,Check out the Singapore Art Museum,"39 Keppel Road, Tanjong Pagar Distripark, #01-02, Singapore 089065",089065,not available,"10am-7pm, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.272078,103.836708
95,Go on a Fort Serapong tour,"54 Lakeshore View, Singapore 09844",not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
96,Visit the Buddha Tooth Relic Temple,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
97,Explore Kampong Lorong Buangkok,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
98,Revisit St James Power Station,"3 Sentosa Gateway, Singapore 098544",098544,not available,Tue-Sun 10am-6pm (Closed on Mondays),Closed,10am-6pm,Closed,Closed,Closed,Closed,10am-6pm,1.264732,103.824915
99,Explore Haw Par Villa,"262 Pasir Panjang Road, Singapore 118 628",not available,6773 0103,Sun-Thu 9am-8pm | Fri-Sat 9am-10pm,Closed,Closed,Closed,9am-8pm,9am-10pm,9am-10pm,9am-8pm,not available,not available
100,Visit the ArtScience Museum,"6 Bayfront Avenue, Singapore 018974",018974,6688 8888,"10am-7pm, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.286241,103.859286
101,Trawl Kampong Gelam,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
102,Browse the grand Rotunda Library & Archive,"National Gallery Singapore, 1 St Andrew’s Road, Supreme Court Wing Level 3, Singapore 178957",178957, 6697 9180 ,Mon-Fri 10am-12.30pm & 2pm-5pm (Closed on Sat-Sun & PHs),2pm-5pm,Closed,Closed,Closed,2pm-5pm,Closed,Closed,1.289704,103.851285
103,Visit the Trick Eye Museum,"80 Siloso Road, Southside Interim Market, Block D #01-04, Singapore 098969",098969,6795 2371 ,"11am-7pm, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.258124,103.811537
104,Tour the Singapore City Gallery,"45 Maxwell Road, Level 1, The URA Centre, Singapore 069118",069118,not available,Mon-Sat 9am-5pm (Closed on Sundays & PH),9am-5pm,Closed,Closed,Closed,Closed,9am-5pm,Closed,1.279866,103.845134
105,Spend time at the Indian Heritage Centre,"5 Campbell Lane, Singapore 209924",209924,6291 1601,Tue-Sun 10am-6pm (Closed on Mondays),Closed,10am-6pm,Closed,Closed,Closed,Closed,10am-6pm,1.305623,103.852304
106,Join the Kebun Baru Birdsinging Club,"Block 159 Ang Mo Kio Ave 5, Singapore 560159",560159,not available,Sat-Sun & PH 9.30am-12pm,Closed,Closed,Closed,Closed,Closed,30am-12pm,30am-12pm,1.374582,103.839739
107,Stop by Gillman Barracks,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
108,See lighthouses in Singapore,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
109,Admire Jewel Changi’s Rain Vortex,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
110,Revisit old-school playgrounds,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
111,Go on Apple Photo Walks,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
112,Have a photoshoot at selfie studios,"110 Lorong 23 Geylang, Victory Center #03-07, Singapore 388410",388410,9029 4733,"10am-5pm, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.3182285,103.8812086
113,Head up to ION Sky,"2 Orchard Turn, ION Orchard Mall Level 56, Singapore 238801",238801,6238 8228,Tue-Thu 4pm-8pm | Fri-Sat 2-9pm (Closed Sundays & Mondays),Closed,4pm-8pm,Closed,4pm-8pm,Closed,Closed,Closed,1.304052,103.831767
114,Have a date at Wings of Time,"Near Beach Station, 50 Beach View, Singapore 098604",098604,6361 0088 (Singapore Cable Car ticketing counter),not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.251746,103.81854
115,Check out CapitaSpring,"88 Market Street, Singapore 048948",048948,6713 3948,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
116,Ride on the SkyHelix,"41 Imbiah Road, Sentosa, Singapore 099707",099707,6361 0088,"10am-9.30pm, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.254966,103.81765
117,Watch the sunset at Yishun Dam,"Yishun Avenue 1, Singapore 769130",769130,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.412094,103.83112
118,Visit rooftop gardens around Singapore,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
119,Go shopping in Little India,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
120,Read at Woods in the Books,"3 Yong Siak Street, Singapore 168642",168642,6222 9980,Wed-Sat 10am-7pm | Sun-Mon 10am-6pm (Closed on Tuesdays),10am-6pm,Closed,10am-7pm,Closed,Closed,10am-7pm,10am-6pm,1.282415,103.830462
121,Go thrifting at Turf Club Road’s Antique Row,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
122,Shop around at Cat Socrates,"448 Joo Chiat Road, Singapore 427661",427661,6348 0863,Mon 11am-6pm | Tue-Sat 11am-8pm | Sun & PH 11am-7pm,11am-6pm,11am-8pm,Closed,Closed,Closed,11am-8pm,11am-7pm,1.306535,103.904468
123,Revisit People’s Park Centre,"101 Upper Cross Street, Singapore 058357",058357,6535 9177,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.2856991,103.8436608
124,Discover T for Toys$1,"18 Tampines Industrial Crescent, Space @ Tampines #01-02A, Singapore 528605",528605,9021 7376,Mon-Fri 12pm-6pm | Sat-Sun 12pm-7pm,12pm-6pm,Closed,Closed,Closed,12pm-6pm,12pm-7pm,12pm-7pm,1.375843,103.929149
125,Browse through comic book stores,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
126,Shop at Don Don Donki,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
127,Stroll through Bugis Street,not available,not available,6338 9513,"10am-10pm, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available
128,"Wine, dine, and shop at Dempsey Hill","Dempsey Road, Singapore 249679",249679,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,1.306912,103.810132
129,See the world’s largest public display of Southeast Asian art,"Civic District, Singapore 178957",178957,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.289704,103.851285
130,Race at Singapore’s only night luge ride,"1 Imbiah Rd, Singapore 099692",099692,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.253882,103.817034
131,Stroll around Gardens By The Bay,"18 Marina Gardens Dr, Singapore 018953",018953,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.281744,103.867383
132,Indulge on famous Singapore Chilli Crab, Various Locations ,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
133,Battle it out on Asia’s first gamified electric go-karts,"54 Palawan Beach Walk, Singapore 098233",098233,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.25021,103.819899
134,Enjoy 360-degree city views,"10 Bayfront Ave, Singapore 018956",018956,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.282275,103.858322
135,Zoom down Singapore’s longest indoor waterslide,"HomeTeamNS Bedok Reservoir, 900 Bedok North Rd, Singapore",not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
136,See the underwater world,"RW Sentosa, Singapore ",not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
137,"Play at Asia’s first ski, surf, skate & ski resort","Orchard Road, Singapore",not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
138,Be mesmerised by a Candlelight concert,Various Locations,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
139,Explore Singapore on one of the longest trails,Various Locations,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
140,Wander around Chinatown," Chinatown, Singapore",not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
141,Get lost in the ArtScience Museum,FutureWorld,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
142,Be mesmerised by nocturnal creatures," 6 Bayfront Ave, Singapore 018974",018974,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.286241,103.859286
143,Book an infinity pool experience,"80 Mandai Lake Rd, Singapore 729826",729826,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.404971,103.790678
144,Be entertained by a first-rated colourful night show,Various Locations ,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
145,Hop on Singapore Cable Car,"50 Beach View, Singapore 09860",not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
146,Let the kids run free at Chaos Lab,Various Locations,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
147,Check out the coolest exhibitions,"Terminal 2, Changi Airport, Singapore ",not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
148,Try some escape rooms,Various Locations,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
149,Explore Jewel Changi Airport, Various Locations,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
